,body,mind,achieve,social,meaning,gender,age,pandemic
299,1,2,1,1,1,0,2,0
300,2,1,1,2,1,0,2,0
301,1,3,2,2,2,0,3,0
302,3,2,2,2,2,1,2,0
303,2,2,2,3,2,0,2,0
304,2,2,1,3,1,0,3,0
305,2,1,1,1,1,1,2,0
306,3,3,2,2,1,0,3,0
307,2,3,2,1,1,0,2,0
308,3,3,2,3,2,1,3,0
309,2,3,2,1,3,1,4,0
310,3,2,3,2,2,1,2,0
311,3,3,2,2,2,0,3,0
312,3,3,3,3,3,1,4,0
313,3,3,2,2,1,0,4,0
314,2,2,2,2,2,0,3,0
315,1,2,3,3,3,1,4,0
316,2,3,2,2,2,1,2,0
317,3,3,1,2,2,1,4,0
318,3,3,2,3,2,1,3,0
319,2,3,1,2,1,0,2,0
320,2,2,2,2,1,0,3,0
321,1,3,2,3,2,1,3,0
322,3,2,1,2,1,1,3,0
323,2,2,2,1,1,0,3,0
324,1,3,1,2,1,1,2,0
325,2,2,2,1,1,1,3,0
326,1,1,2,2,1,0,3,0
327,2,2,1,2,2,1,3,0
328,3,2,1,1,2,1,3,0
329,2,2,2,3,1,0,3,0
330,3,2,2,3,2,1,3,0
331,3,2,1,2,2,0,3,0
332,3,2,2,2,1,0,4,0
333,2,3,2,3,2,1,3,0
334,3,3,1,2,1,0,4,0
335,3,3,2,3,2,1,3,0
336,3,3,1,1,1,0,4,0
337,3,2,2,3,3,1,3,0
338,3,2,1,3,1,0,2,0
339,2,2,3,2,2,1,1,0
340,2,1,1,1,1,1,3,0
341,3,2,1,2,1,1,3,0
342,1,1,1,2,1,1,2,0
343,2,3,3,1,1,1,2,0
344,3,3,3,2,2,1,4,0
345,3,3,2,3,1,1,3,0
346,3,2,1,2,2,1,2,0
347,3,2,1,2,1,0,2,0
348,1,3,1,3,1,0,2,0
349,3,2,2,3,1,1,2,0
350,3,3,3,2,2,0,2,0
351,3,2,2,2,2,0,2,0
352,2,3,2,2,2,1,3,0
353,2,3,1,1,1,1,2,0
354,2,1,2,3,2,1,3,0
355,3,2,2,2,1,0,2,0
356,2,2,2,1,1,0,2,0
357,2,3,2,3,2,0,3,0
358,1,1,1,1,1,0,3,0
359,3,2,2,2,2,1,4,0
360,2,1,1,1,1,0,3,0
361,1,3,1,1,1,0,3,0
362,3,3,1,2,2,1,3,0
363,2,2,2,3,2,1,3,0
364,3,3,1,2,1,0,2,0
365,2,2,1,2,1,1,4,0
366,3,3,1,2,1,0,2,0
367,2,2,2,3,2,1,4,0
368,2,3,1,2,1,1,2,0
369,3,3,1,3,2,0,2,0
370,2,3,2,1,2,1,4,0
371,3,3,3,3,2,1,1,0
372,2,2,2,3,1,0,3,0
373,2,1,2,2,1,0,3,0
374,3,3,1,2,1,0,2,0
375,2,3,3,3,2,1,2,0
376,3,2,2,3,1,1,2,0
377,3,3,2,2,2,0,2,0
378,3,3,2,2,2,0,2,0
379,3,3,2,2,1,0,3,0
380,3,2,2,3,2,0,2,0
381,2,2,2,1,1,0,1,0
382,3,3,2,2,2,1,3,0
383,2,3,2,2,1,1,2,0
384,2,2,3,2,2,0,3,0
385,1,2,2,2,1,0,3,0
386,1,2,2,2,1,0,3,0
387,3,3,2,3,3,1,2,0
388,3,2,2,2,1,1,2,0
389,2,3,2,2,2,1,3,0
390,1,1,1,1,1,1,2,0
391,3,2,2,3,1,0,2,0
392,2,3,2,2,2,1,4,0
393,2,2,2,2,2,1,2,0
394,2,3,3,3,3,0,4,0
395,2,2,1,3,1,0,3,0
396,2,2,1,2,1,0,3,0
397,2,2,1,2,1,0,3,0
398,2,3,2,3,2,1,4,0
399,3,3,2,3,2,1,3,0
400,3,3,2,3,2,1,3,0
401,1,3,1,2,2,1,4,0
402,3,2,2,1,1,1,4,0
403,1,1,2,3,1,1,3,0
404,2,2,2,1,2,1,2,0
405,2,2,2,1,2,1,2,0
406,3,3,2,3,2,0,4,0
407,3,3,1,3,2,1,4,0
408,3,3,2,3,2,0,4,0
409,2,3,1,2,2,1,4,0
410,3,3,2,3,2,1,2,0
411,2,2,2,2,2,0,3,0
412,2,3,2,1,2,0,3,0
413,3,3,3,3,2,1,4,0
414,2,3,1,2,1,1,2,0
415,2,3,1,2,1,1,2,0
416,3,3,1,3,1,1,2,0
417,3,3,3,3,3,1,4,0
418,2,3,2,3,2,1,4,0
419,3,3,3,3,3,1,4,0
420,3,3,3,3,3,1,4,0
421,3,3,2,3,3,0,3,0
422,3,1,2,2,1,1,3,0
423,3,3,1,3,1,1,4,0
424,3,2,2,2,1,0,4,0
425,2,2,2,3,2,0,3,0
426,2,2,2,2,2,1,3,0
427,1,2,2,2,1,0,2,0
428,3,3,2,2,2,0,4,0
429,3,3,2,2,2,0,4,0
430,2,3,2,3,2,1,2,0
431,2,3,1,3,2,1,2,0
432,3,3,3,1,3,1,4,0
433,3,3,2,3,1,0,3,0
434,3,2,2,3,1,0,1,0
435,2,3,1,1,1,0,3,0
436,3,3,3,1,2,0,1,0
437,3,2,2,2,1,0,2,0
438,2,2,1,2,1,0,2,0
439,2,3,3,3,3,1,4,0
440,2,3,2,2,1,0,4,0
441,2,2,2,3,1,1,1,0
442,3,3,2,2,2,0,4,0
443,3,3,2,2,2,0,4,0
444,3,3,2,2,1,1,4,0
445,1,2,1,3,2,1,3,0
446,2,3,1,2,1,1,3,0
447,3,3,2,2,2,0,4,0
448,2,2,1,2,2,1,4,0
449,3,3,2,2,2,0,4,0
450,3,3,2,3,1,0,3,0
451,2,2,2,2,1,1,3,0
452,2,1,2,2,1,1,3,0
453,2,3,2,3,2,0,4,0
454,3,3,2,3,2,1,2,0
455,3,3,2,2,2,1,1,0
456,2,2,1,2,1,1,1,0
457,3,3,3,3,2,1,2,0
458,2,1,1,2,1,0,2,0
459,3,2,1,2,1,1,4,0
460,3,3,3,3,3,1,3,0
461,3,3,2,3,2,1,3,0
462,3,2,2,2,3,1,2,0
463,1,1,2,1,1,1,3,0
464,2,3,1,2,1,0,4,0
465,1,3,2,2,2,0,2,0
466,2,3,2,3,2,0,3,0
467,3,3,2,2,2,1,3,0
468,2,2,3,1,1,0,3,0
469,2,2,1,3,1,0,2,0
470,3,1,1,2,1,1,3,0
471,3,3,3,3,2,1,3,0
472,3,3,1,1,2,0,1,0
473,2,2,3,3,2,0,2,0
474,2,2,2,3,1,1,3,0
475,2,2,3,3,2,0,1,0
476,1,1,2,1,1,1,2,0
477,3,3,3,3,2,1,3,0
478,3,2,3,1,2,0,3,0
479,3,3,2,3,2,1,4,0
480,3,2,2,3,1,0,4,0
481,3,2,1,3,1,1,2,0
482,2,2,1,2,1,0,3,0
483,3,2,1,2,1,0,3,0
484,2,2,1,2,1,1,1,0
485,2,2,1,2,1,1,3,0
486,3,3,1,3,2,1,3,0
487,3,3,1,3,2,1,3,0
